user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_target,login_recency_category,support_risk,payment_risk,usage_level,churn_probability,predicted_churn,predicted_risk_category
1,2023-04-15,Premium,699,1.1,4,1,8,14,Yes,1,Active,Medium,Medium,Low,0.5674462093377564,1,Medium Risk
2,2023-08-27,Premium,699,2.6,6,0,35,1,Yes,1,Active,High,Low,Low,0.4712412615516419,0,Medium Risk
3,2023-10-12,Premium,699,14.3,8,3,2,14,Yes,1,Active,High,High,Medium,0.6256656592023719,1,High Risk
4,2023-12-11,Basic,199,17.6,5,2,11,9,Yes,1,Active,Medium,Medium,High,0.3632886960711396,0,Medium Risk
5,2023-02-14,Basic,199,9.8,5,2,6,38,Yes,1,Inactive,Medium,Medium,Medium,0.5835997550747711,1,Medium Risk
6,2024-10-05,Premium,699,13.6,6,0,30,35,Yes,1,Inactive,High,Low,Medium,0.45309345057802924,0,Medium Risk
7,2023-10-24,Premium,699,14.6,1,0,24,42,Yes,1,Inactive,Low,Low,Medium,0.31472886126033667,0,Medium Risk
8,2024-01-09,Basic,199,21.7,6,2,15,29,Yes,1,At Risk,High,Medium,High,0.5706819100509583,1,Medium Risk
9,2023-03-15,Basic,199,9.2,4,5,24,59,Yes,1,Inactive,Medium,High,Medium,0.765042034371065,1,High Risk
10,2024-10-17,Premium,699,13.6,3,1,11,29,No,0,At Risk,Medium,Medium,Medium,0.40479547812196565,0,Medium Risk
11,2023-11-20,Premium,699,5.9,5,0,36,14,No,0,Active,Medium,Low,Medium,0.21278507608073732,0,Low Risk
12,2024-10-20,Standard,399,2.1,5,1,18,41,Yes,1,Inactive,Medium,Medium,Low,0.8208878174937224,1,High Risk
13,2024-08-21,Standard,399,7.0,3,5,10,35,Yes,1,Inactive,Medium,High,Medium,0.6870147995444699,1,High Risk
14,2023-02-18,Standard,399,9.4,2,4,26,31,Yes,1,Inactive,Low,High,Medium,0.6391792420376117,1,High Risk
15,2024-09-02,Basic,199,15.9,6,4,10,4,Yes,1,Active,High,High,High,0.5247735819513067,1,Medium Risk
16,2024-11-29,Standard,399,6.7,8,0,34,43,No,0,Inactive,High,Low,Medium,0.549023322013825,1,Medium Risk
17,2024-04-09,Premium,699,19.3,5,0,18,18,No,0,At Risk,Medium,Low,High,0.35706428320075384,0,Medium Risk
18,2024-10-02,Basic,199,24.3,2,4,17,58,Yes,1,Inactive,Low,High,High,0.7577196904445723,1,High Risk
19,2024-06-27,Standard,399,15.4,2,2,33,48,Yes,1,Inactive,Low,Medium,High,0.5503584658803812,1,Medium Risk
20,2023-11-11,Basic,199,12.5,1,2,21,56,No,0,Inactive,Low,Medium,Medium,0.5054335589649033,1,Medium Risk
21,2023-03-12,Basic,199,6.4,1,0,4,46,No,0,Inactive,Low,Low,Medium,0.27661217911425523,0,Low Risk
22,2024-09-13,Premium,699,3.6,7,4,9,10,Yes,1,Active,High,High,Low,0.8512594622127102,1,High Risk
23,2024-11-18,Standard,399,23.3,3,5,14,19,No,0,At Risk,Medium,High,High,0.6559039953325082,1,High Risk
24,2023-03-07,Premium,699,11.2,8,3,24,7,Yes,1,Active,High,High,Medium,0.5872204965186931,1,Medium Risk
25,2024-12-25,Standard,399,14.9,3,4,2,14,Yes,1,Active,Medium,High,Medium,0.4847439957778844,0,Medium Risk
26,2023-10-13,Premium,699,6.1,0,2,4,4,No,0,Active,Low,Medium,Medium,0.18545339799756946,0,Low Risk
27,2024-08-13,Premium,699,5.7,2,5,32,59,No,0,Inactive,Low,High,Medium,0.7589800360923291,1,High Risk
28,2024-03-17,Standard,399,19.7,6,1,16,6,Yes,1,Active,High,Medium,High,0.3486971886357687,0,Medium Risk
29,2023-04-11,Standard,399,10.6,0,5,28,41,No,0,Inactive,Low,High,Medium,0.6156097732523447,1,High Risk
30,2024-04-04,Basic,199,18.3,1,1,26,12,No,0,Active,Low,Medium,High,0.23160141228811912,0,Low Risk
31,2024-03-29,Basic,199,5.0,7,1,28,55,No,0,Inactive,High,Medium,Low,0.8748019639180178,1,High Risk
32,2023-08-31,Premium,699,1.7,8,0,7,5,No,0,Active,High,Low,Low,0.5958910225601082,1,Medium Risk
33,2024-01-24,Basic,199,12.4,3,3,27,57,Yes,1,Inactive,Medium,High,Medium,0.6595579044002621,1,High Risk
34,2024-07-23,Basic,199,7.0,7,2,25,27,Yes,1,At Risk,High,Medium,Medium,0.5800860593548057,1,Medium Risk
